codepoint,value,subnormal
0x0310,0x1p+272, 
0x0311,0x1p+273, 
0x0312,0x1p+274, 
0x0313,0x1p+275, 
0x0314,0x1p+276, 
0x0315,0x1p+277, 
0x0316,0x1p+278, 
0x0317,0x1p+279, 
0x0318,0x1p+280, 
0x0319,0x1p+281, 
0x031a,0x1p+282, 
0x031b,0x1p+283, 
0x031c,0x1p+284, 
0x031d,0x1p+285, 
0x031e,0x1p+286, 
0x031f,0x1p+287, 
0x0320,0x1p+288, 
0x0321,0x1p+289, 
0x0322,0x1p+290, 
0x0323,0x1p+291, 
0x0324,0x1p+292, 
0x0325,0x1p+293, 
0x0326,0x1p+294, 
0x0327,0x1p+295, 
0x0328,0x1p+296, 
0x0329,0x1p+297, 
0x032a,0x1p+298, 
0x032b,0x1p+299, 
0x032c,0x1p+300, 
0x032d,0x1p+301, 
0x032e,0x1p+302, 
0x032f,0x1p+303, 
0x0330,0x1p+304, 
0x0331,0x1p+305, 
0x0332,0x1p+306, 
0x0333,0x1p+307, 
0x0334,0x1p+308, 
0x0335,0x1p+309, 
0x0336,0x1p+310, 
0x0337,0x1p+311, 
0x0338,0x1p+312, 
0x0339,0x1p+313, 
0x033a,0x1p+314, 
0x033b,0x1p+315, 
0x033c,0x1p+316, 
0x033d,0x1p+317, 
0x033e,0x1p+318, 
0x033f,0x1p+319, 
0x0340,0x1p+320, 
0x0341,0x1p+321, 
0x0342,0x1p+322, 
0x0343,0x1p+323, 
0x0344,0x1p+324, 
0x0345,0x1p+325, 
0x0346,0x1p+326, 
0x0347,0x1p+327, 
0x0348,0x1p+328, 
0x0349,0x1p+329, 
0x034a,0x1p+330, 
0x034b,0x1p+331, 
0x034c,0x1p+332, 
0x034d,0x1p+333, 
0x034e,0x1p+334, 
0x034f,0x1p+335, 
0x0350,0x1p+336, 
0x0351,0x1p+337, 
0x0352,0x1p+338, 
0x0353,0x1p+339, 
0x0354,0x1p+340, 
0x0355,0x1p+341, 
0x0356,0x1p+342, 
0x0357,0x1p+343, 
0x0358,0x1p+344, 
0x0359,0x1p+345, 
0x035a,0x1p+346, 
0x035b,0x1p+347, 
0x035c,0x1p+348, 
0x035d,0x1p+349, 
0x035e,0x1p+350, 
0x035f,0x1p+351, 
0x0360,0x1p+352, 
0x0361,0x1p+353, 
0x0362,0x1p+354, 
0x0363,0x1p+355, 
0x0364,0x1p+356, 
0x0365,0x1p+357, 
0x0366,0x1p+358, 
0x0367,0x1p+359, 
0x0368,0x1p+360, 
0x0369,0x1p+361, 
0x036a,0x1p+362, 
0x036b,0x1p+363, 
0x036c,0x1p+364, 
0x036d,0x1p+365, 
0x036e,0x1p+366, 
0x036f,0x1p+367, 
0x0370,0x1p+368, 
0x0371,0x1p+369, 
0x0372,0x1p+370, 
0x0373,0x1p+371, 
0x0374,0x1p+372, 
0x0375,0x1p+373, 
0x0376,0x1p+374, 
0x0377,0x1p+375, 
0x0378,0x1p+376, 
0x0379,0x1p+377, 
0x037a,0x1p+378, 
0x037b,0x1p+379, 
0x037c,0x1p+380, 
0x037d,0x1p+381, 
0x037e,0x1p+382, 
0x037f,0x1p+383, 
0x0380,0x1p+384, 
0x0381,0x1p+385, 
0x0382,0x1p+386, 
0x0383,0x1p+387, 
0x0384,0x1p+388, 
0x0385,0x1p+389, 
0x0386,0x1p+390, 
0x0387,0x1p+391, 
0x0388,0x1p+392, 
0x0389,0x1p+393, 
0x038a,0x1p+394, 
0x038b,0x1p+395, 
0x038c,0x1p+396, 
0x038d,0x1p+397, 
0x038e,0x1p+398, 
0x038f,0x1p+399, 
0x0390,0x1p+400, 
0x0391,0x1p+401, 
0x0392,0x1p+402, 
0x0393,0x1p+403, 
0x0394,0x1p+404, 
0x0395,0x1p+405, 
0x0396,0x1p+406, 
0x0397,0x1p+407, 
0x0398,0x1p+408, 
0x0399,0x1p+409, 
0x039a,0x1p+410, 
0x039b,0x1p+411, 
0x039c,0x1p+412, 
0x039d,0x1p+413, 
0x039e,0x1p+414, 
0x039f,0x1p+415, 
0x03a0,0x1p+416, 
0x03a1,0x1p+417, 
0x03a2,0x1p+418, 
0x03a3,0x1p+419, 
0x03a4,0x1p+420, 
0x03a5,0x1p+421, 
0x03a6,0x1p+422, 
0x03a7,0x1p+423, 
0x03a8,0x1p+424, 
0x03a9,0x1p+425, 
0x03aa,0x1p+426, 
0x03ab,0x1p+427, 
0x03ac,0x1p+428, 
0x03ad,0x1p+429, 
0x03ae,0x1p+430, 
0x03af,0x1p+431, 
0x03b0,0x1p+432, 
0x03b1,0x1p+433, 
0x03b2,0x1p+434, 
0x03b3,0x1p+435, 
0x03b4,0x1p+436, 
0x03b5,0x1p+437, 
0x03b6,0x1p+438, 
0x03b7,0x1p+439, 
0x03b8,0x1p+440, 
0x03b9,0x1p+441, 
0x03ba,0x1p+442, 
0x03bb,0x1p+443, 
0x03bc,0x1p+444, 
0x03bd,0x1p+445, 
0x03be,0x1p+446, 
0x03bf,0x1p+447, 
0x03c0,0x1p+448, 
0x03c1,0x1p+449, 
0x03c2,0x1p+450, 
0x03c3,0x1p+451, 
0x03c4,0x1p+452, 
0x03c5,0x1p+453, 
0x03c6,0x1p+454, 
0x03c7,0x1p+455, 
0x03c8,0x1p+456, 
0x03c9,0x1p+457, 
0x03ca,0x1p+458, 
