codepoint,values,subnormal
0x0307,0x0.307p-4,*
0x0308,0x0.308p-4,*
0x0309,0x0.309p-4,*
0x030a,0x0.30ap-4,*
0x030b,0x0.30bp-4,*
0x030c,0x0.30cp-4,*
0x030d,0x0.30dp-4,*
0x030e,0x0.30ep-4,*
0x030f,0x0.30fp-4,*
0x0310,0x0.31p-4,*
0x0311,0x0.311p-4,*
0x0312,0x0.312p-4,*
0x0313,0x0.313p-4,*
0x0314,0x0.314p-4,*
0x0315,0x0.315p-4,*
0x0316,0x0.316p-4,*
0x0317,0x0.317p-4,*
0x0318,0x0.318p-4,*
0x0319,0x0.319p-4,*
0x031a,0x0.31ap-4,*
0x031b,0x0.31bp-4,*
0x031c,0x0.31cp-4,*
0x031d,0x0.31dp-4,*
0x031e,0x0.31ep-4,*
0x031f,0x0.31fp-4,*
0x0320,0x0.32p-4,*
0x0321,0x0.321p-4,*
0x0322,0x0.322p-4,*
0x0323,0x0.323p-4,*
0x0324,0x0.324p-4,*
0x0325,0x0.325p-4,*
0x0326,0x0.326p-4,*
0x0327,0x0.327p-4,*
0x0328,0x0.328p-4,*
0x0329,0x0.329p-4,*
0x032a,0x0.32ap-4,*
0x032b,0x0.32bp-4,*
0x032c,0x0.32cp-4,*
0x032d,0x0.32dp-4,*
0x032e,0x0.32ep-4,*
