codepoint,values,subnormal
0x02a1,0x0.542p-8,*
0x02a2,0x0.544p-8,*
0x02a3,0x0.546p-8,*
0x02a4,0x0.548p-8,*
0x02a5,0x0.54ap-8,*
0x02a6,0x0.54cp-8,*
0x02a7,0x0.54ep-8,*
0x02a8,0x0.55p-8,*
0x02a9,0x0.552p-8,*
0x02aa,0x0.554p-8,*
0x02ab,0x0.556p-8,*
0x02ac,0x0.558p-8,*
0x02ad,0x0.55ap-8,*
0x02ae,0x0.55cp-8,*
0x02af,0x0.55ep-8,*
0x02b0,0x0.56p-8,*
0x02b1,0x0.562p-8,*
0x02b2,0x0.564p-8,*
0x02b3,0x0.566p-8,*
0x02b4,0x0.568p-8,*
0x02b5,0x0.56ap-8,*
0x02b6,0x0.56cp-8,*
0x02b7,0x0.56ep-8,*
0x02b8,0x0.57p-8,*
0x02b9,0x0.572p-8,*
0x02ba,0x0.574p-8,*
0x02bb,0x0.576p-8,*
0x02bc,0x0.578p-8,*
0x02bd,0x0.57ap-8,*
0x02be,0x0.57cp-8,*
0x02bf,0x0.57ep-8,*
0x02c0,0x0.58p-8,*
0x02c1,0x0.582p-8,*
0x02c2,0x0.584p-8,*
0x02c3,0x0.586p-8,*
0x02c4,0x0.588p-8,*
0x02c5,0x0.58ap-8,*
0x02c6,0x0.58cp-8,*
0x02c7,0x0.58ep-8,*
0x02c8,0x0.59p-8,*
0x02c9,0x0.592p-8,*
0x02ca,0x0.594p-8,*
0x02cb,0x0.596p-8,*
0x02cc,0x0.598p-8,*
0x02cd,0x0.59ap-8,*
0x02ce,0x0.59cp-8,*
0x02cf,0x0.59ep-8,*
0x02d0,0x0.5ap-8,*
0x02d1,0x0.5a2p-8,*
0x02d2,0x0.5a4p-8,*
0x02d3,0x0.5a6p-8,*
0x02d4,0x0.5a8p-8,*
0x02d5,0x0.5aap-8,*
0x02d6,0x0.5acp-8,*
0x02d7,0x0.5aep-8,*
0x02d8,0x0.5bp-8,*
0x02d9,0x0.5b2p-8,*
0x02da,0x0.5b4p-8,*
0x02db,0x0.5b6p-8,*
0x02dc,0x0.5b8p-8,*
0x02dd,0x0.5bap-8,*
0x02de,0x0.5bcp-8,*
0x02df,0x0.5bep-8,*
0x02e0,0x0.5cp-8,*
0x02e1,0x0.5c2p-8,*
0x02e2,0x0.5c4p-8,*
0x02e3,0x0.5c6p-8,*
0x02e4,0x0.5c8p-8,*
0x02e5,0x0.5cap-8,*
0x02e6,0x0.5ccp-8,*
0x02e7,0x0.5cep-8,*
0x02e8,0x0.5dp-8,*
0x02e9,0x0.5d2p-8,*
0x02ea,0x0.5d4p-8,*
0x02eb,0x0.5d6p-8,*
0x02ec,0x0.5d8p-8,*
0x02ed,0x0.5dap-8,*
0x02ee,0x0.5dcp-8,*
0x02ef,0x0.5dep-8,*
0x02f0,0x0.5ep-8,*
0x02f1,0x0.5e2p-8,*
0x02f2,0x0.5e4p-8,*
0x02f3,0x0.5e6p-8,*
0x02f4,0x0.5e8p-8,*
0x02f5,0x0.5eap-8,*
0x02f6,0x0.5ecp-8,*
0x02f7,0x0.5eep-8,*
0x02f8,0x0.5fp-8,*
0x02f9,0x0.5f2p-8,*
0x02fa,0x0.5f4p-8,*
0x02fb,0x0.5f6p-8,*
0x02fc,0x0.5f8p-8,*
0x02fd,0x0.5fap-8,*
0x02fe,0x0.5fcp-8,*
0x02ff,0x0.5fep-8,*
0x0300,0x0.6p-8,*
0x0301,0x0.602p-8,*
0x0302,0x0.604p-8,*
0x0303,0x0.606p-8,*
0x0304,0x0.608p-8,*
0x0305,0x0.60ap-8,*
0x0306,0x0.60cp-8,*
0x0307,0x0.60ep-8,*
0x0308,0x0.61p-8,*
0x0309,0x0.612p-8,*
0x030a,0x0.614p-8,*
0x030b,0x0.616p-8,*
0x030c,0x0.618p-8,*
0x030d,0x0.61ap-8,*
0x030e,0x0.61cp-8,*
0x030f,0x0.61ep-8,*
0x0310,0x0.62p-8,*
0x0311,0x0.622p-8,*
0x0312,0x0.624p-8,*
0x0313,0x0.626p-8,*
0x0314,0x0.628p-8,*
0x0315,0x0.62ap-8,*
0x0316,0x0.62cp-8,*
0x0317,0x0.62ep-8,*
0x0318,0x0.63p-8,*
0x0319,0x0.632p-8,*
0x031a,0x0.634p-8,*
0x031b,0x0.636p-8,*
0x031c,0x0.638p-8,*
0x031d,0x0.63ap-8,*
0x031e,0x0.63cp-8,*
0x031f,0x0.63ep-8,*
0x0320,0x0.64p-8,*
0x0321,0x0.642p-8,*
0x0322,0x0.644p-8,*
0x0323,0x0.646p-8,*
0x0324,0x0.648p-8,*
0x0325,0x0.64ap-8,*
0x0326,0x0.64cp-8,*
0x0327,0x0.64ep-8,*
0x0328,0x0.65p-8,*
0x0329,0x0.652p-8,*
0x032a,0x0.654p-8,*
0x032b,0x0.656p-8,*
0x032c,0x0.658p-8,*
0x032d,0x0.65ap-8,*
